x,y,z,intensity,return_num,classification
282000.16000000003,5660004.5,31.71,30495,1,2
282000.56,5660004.04,31.73,32833,1,2
282000.56,5660004.36,31.720000000000002,36000,1,2
282001.0,5660003.51,31.71,28857,1,2
282001.0,5660003.87,31.7,29687,1,2
282001.67,5660003.45,31.66,21517,1,2
282001.66000000003,5660003.75,31.66,23112,1,2
282001.0,5660004.19,31.73,31631,1,2
282001.36,5660003.97,31.68,23920,1,2
282001.36,5660004.29,31.67,23723,1,2
282001.66000000003,5660004.4,31.71,24728,1,2
282000.15,5660004.82,31.720000000000002,32658,1,2
282000.56,5660004.69,31.720000000000002,33357,1,2
282000.56,5660004.99,31.7,31500,1,2
282000.15,5660005.11,31.71,34252,1,2
282000.15,5660005.44,31.71,32483,1,2
282000.56,5660005.3100000005,31.720000000000002,32046,1,2
282001.0,5660004.87,31.68,29731,1,2
282001.36,5660004.61,31.67,19922,1,2
282001.36,5660004.91,31.720000000000002,24247,1,20
282001.66000000003,5660004.75,31.71,28922,1,20
282000.99,5660005.23,31.720000000000002,26781,1,2
282001.36,5660005.28,31.7,25099,1,2
282001.37,5660003.6,31.76,24815,1,20
282001.66000000003,5660004.05,31.73,24204,1,20
282001.0,5660004.51,31.75,30779,1,2
282001.66000000003,5660005.38,31.740000000000002,20294,1,20
282001.99,5660001.7,31.7,28660,1,2
282002.73,5660001.46,31.720000000000002,29403,1,2
282002.73,5660001.8,31.68,25711,1,2
282001.99,5660002.04,31.69,24946,1,2
282001.99,5660002.32,31.7,21364,1,2
282002.38,5660001.95,31.67,27568,1,2
282002.37,5660002.24,31.7,27087,1,2
282002.73,5660002.13,31.68,22696,1,2
282003.04,5660001.5,31.67,19704,1,2
282003.04,5660001.85,31.7,22915,1,2
282003.39,5660001.37,31.69,18852,1,2
282003.39,5660001.69,31.69,19158,1,2
282003.04,5660002.19,31.68,21145,1,2
282003.39,5660002.03,31.66,21342,1,2
282003.39,5660002.33,31.66,18786,1,2
282003.77,5660002.11,31.67,20184,1,2
282001.99,5660002.65,31.69,23243,1,2
282002.37,5660002.57,31.71,25252,1,2
282002.73,5660002.41,31.73,18502,1,20
282002.37,5660002.89,31.69,26934,1,2
282002.73,5660002.74,31.67,24641,1,2
282001.99,5660002.96,31.73,24772,1,20
282001.99,5660003.28,31.68,22369,1,2
282002.37,5660003.22,31.650000000000002,29206,1,2
282003.04,5660002.49,31.720000000000002,27175,1,2
282003.04,5660002.79,31.69,21888,1,2
282003.39,5660002.63,31.71,21255,1,2
282003.39,5660002.96,31.7,28529,1,2
282003.39,5660003.28,31.650000000000002,16536,1,2
